"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL2238355";"";"";"Small molecule";"";"590.30";"2";"4";"5.04";"36.92";"4";"0";"1";"7";"N";"0.36";"3";"MOL";"-1";"29";"0.80";"C23H29BrINO4";"COc1cc2ccc3c(CC[N+](C)(C)C)c(Br)c(OC)c(OC)c3c2cc1OC.[I-]";"JGQJTVWXEAQDLX-UHFFFAOYSA-M";"InChI=1S/C23H29BrNO4.HI/c1-25(2,3)11-10-16-15-9-8-14-12-18(26-4)19(27-5)13-17(14)20(15)22(28-6)23(29-7)21(16)24;/h8-9,12-13H,10-11H2,1-7H3;1H/q+1;/p-1";"False";"-1";"['3']";"['2-Bromo-3,7-dimethoxy-N,N-dimethylsecoboldine iodide']"
"CHEMBL3913803";"";"";"Small molecule";"";"381.48";"2";"2";"3.05";"61.88";"5";"1";"0";"6";"N";"0.78";"2";"MOL";"-1";"28";"-1.42";"C22H27N3O3";"COc1ccc(N2CCN(C(=O)CNc3ccc(C(C)=O)cc3)CC2C)cc1";"MNVSSQNKSRVGGR-UHFFFAOYSA-N";"InChI=1S/C22H27N3O3/c1-16-15-24(12-13-25(16)20-8-10-21(28-3)11-9-20)22(27)14-23-19-6-4-18(5-7-19)17(2)26/h4-11,16,23H,12-15H2,1-3H3";"False";"-1";"['BDBM244055']";"['US9428478, TG6-140']"
"CHEMBL3742412";"";"";"Small molecule";"";"224.26";"2";"4";"2.22";"37.79";"3";"1";"0";"1";"Y";"0.75";"2";"MOL";"-1";"15";"-1.99";"C10H9FN2OS";"CCn1c(=S)[nH]c2ccc(F)cc2c1=O";"FGRJYXLUJMYZOQ-UHFFFAOYSA-N";"InChI=1S/C10H9FN2OS/c1-2-13-9(14)7-5-6(11)3-4-8(7)12-10(13)15/h3-5H,2H2,1H3,(H,12,15)";"False";"-1";"['3b']";"['3-ethyl-6-fluoro-2-thioxo-2,3-dihydroquinazolin-4(1H)-one']"
"CHEMBL4076670";"";"";"Small molecule";"";"286.68";"1";"2";"1.61";"91.73";"5";"2";"0";"1";"N";"0.56";"4";"MOL";"-1";"20";"-2.07";"C12H7ClN6O";"O=c1[nH]c2[nH]ncc2c2nc(-c3cccc(Cl)c3)nn12";"JERZRIWNYWAEHQ-UHFFFAOYSA-N";"InChI=1S/C12H7ClN6O/c13-7-3-1-2-6(4-7)9-15-11-8-5-14-17-10(8)16-12(20)19(11)18-9/h1-5H,(H2,14,16,17,20)";"False";"-1";"['230']";"['2-(3-chlorophenyl)-6,7-dihydro-5H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-one']"
"CHEMBL4170777";"";"";"Small molecule";"";"372.15";"11";"12";"1.21";"88.02";"6";"1";"0";"2";"N";"0.88";"2";"MOL";"-1";"21";"-0.75";"C14H11BrN3NaO3";"Cn1c([O-])c(C(C#N)c2ccc(Br)cc2)c(=O)n(C)c1=O.[Na+]";"UTHWSYCSIIHYJK-UHFFFAOYSA-M";"InChI=1S/C14H12BrN3O3.Na/c1-17-12(19)11(13(20)18(2)14(17)21)10(7-16)8-3-5-9(15)6-4-8;/h3-6,10,19H,1-2H3;/q;+1/p-1";"False";"-1";"['4b']";"['Sodium 5-((4-bromophenyl)(cyano)methyl)-1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-olate']"
"CHEMBL5597034";"";"";"";"";"313.70";"3";"15";"4.03";"94.46";"4";"2";"0";"2";"N";"0.74";"3";"MOL";"-1";"22";"-0.22";"C16H8ClNO4";"N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2oc(Cl)cc2c1";"CJSLOKWGRCPOMW-UHFFFAOYSA-N";"InChI=1S/C16H8ClNO4/c17-14-6-10-3-8(7-18)4-12(15(10)22-14)9-1-2-11(16(20)21)13(19)5-9/h1-6,19H,(H,20,21)";"False";"-1";"['26', 'BDBM377706']";"['4-(2-Chloro-5-cyanobenzofuran-7-yl)-2-hydroxybenzoic Acid', 'US10266496, Example 40']"
"CHEMBL3890430";"";"";"Small molecule";"";"1189.35";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"C58H92O25";"C=C1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"UPROOJBJZLZCGS-CHTHVDMYSA-N";"InChI=1S/C58H92O25/c1-23-11-16-58(53(73)83-51-44(71)40(67)37(64)30(79-51)22-75-48-45(72)41(68)46(29(20-59)78-48)81-49-42(69)38(65)34(61)24(2)76-49)18-17-56(7)26(27(58)19-23)9-10-32-55(6)14-13-33(54(4,5)31(55)12-15-57(32,56)8)80-52-47(36(63)28(60)21-74-52)82-50-43(70)39(66)35(62)25(3)77-50/h9,24-25,27-52,59-72H,1,10-22H2,2-8H3/t24-,25-,27-,28-,29+,30+,31-,32+,33-,34-,35-,36-,37+,38+,39+,40-,41+,42+,43+,44+,45+,46+,47+,48+,49-,50-,51-,52-,55-,56+,57+,58-/m0/s1";"False";"-1";"['14', '6; YM10']";"['(4aS,6aS,6bR,8aR,10S,12aR,12bR)-((2S,3R,4S,5S,6R)-6-(((2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-((2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)tetrahydro-2H-pyran-2-yloxy)methyl)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl) 10-((3R,4S,5S)-4,5-dihydroxy-3-((2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)tetrahydro-2H-pyran-2-yloxy)-6a,6b,9,9,12a-pentamethyl-2-methylene-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylate', '(4aS,6aS,6bR,8aR,10S,12aR,12bR,14bS)-((2S,3R,4S,5S,6R)-6-(((2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-((2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)tetrahydro-2H-pyran-2-yloxy)methyl)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl) 10-((2S,3R,4S,5S)-4,5-dihydroxy-3-((2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyltetrahydro-2H-pyran-2-yloxy)tetrahydro-2H-pyran-2-yloxy)-6a,6b,9,9,12a-pentamethyl-2-methylene-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylate']"
"CHEMBL3740503";"";"";"Small molecule";"";"335.81";"2";"4";"2.29";"41.03";"4";"1";"0";"4";"N";"0.88";"2";"MOL";"-1";"20";"-1.80";"C13H16ClF2N3OS";"CN(C)CCCn1c(=S)[nH]c2cc(F)c(F)cc2c1=O.Cl";"OXGOWSUDBDRDLJ-UHFFFAOYSA-N";"InChI=1S/C13H15F2N3OS.ClH/c1-17(2)4-3-5-18-12(19)8-6-9(14)10(15)7-11(8)16-13(18)20;/h6-7H,3-5H2,1-2H3,(H,16,20);1H";"False";"-1";"['1g']";"['3-(3-(dimethylamino)propyl)-6,7-difluoro-2-thioxo-2,3-dihydroquinazolin-4(1H)-one hydrochloride']"
"CHEMBL4082756";"TP-024";"";"Small molecule";"";"392.36";"527";"787";"3.73";"73.80";"4";"1";"0";"4";"N";"0.69";"3";"MOL";"-1";"28";"-1.90";"C19H16F4N4O";"Cc1cc(-n2nc(Cc3cc(F)cc(C(F)(F)F)c3)nc2C)ccc1C(N)=O";"TYXSIXOYTBHZFA-UHFFFAOYSA-N";"InChI=1S/C19H16F4N4O/c1-10-5-15(3-4-16(10)18(24)28)27-11(2)25-17(26-27)8-12-6-13(19(21,22)23)9-14(20)7-12/h3-7,9H,8H2,1-2H3,(H2,24,28)";"False";"-1";"['FTBMT', 'EUB0000317b', '4u', 'EUB0000317b', 'EUB0000317', 'EUB0000317b', 'EUB0000317b', 'FTBMT', 'EUB0000317b', 'FTBMT', 'EUB0000317b', 'EUB0000317b', 'EUB0000317b', 'EUB0000317a', 'EUB0000317b', 'EUB0000317b', 'EUB0000317b', 'EUB0000317b']";"['FTBMT', 'TP-024', '4-(3-(3-Fluoro-5-(trifluoromethyl)benzyl)-5-methyl-1H-1,2,4-triazol-1-yl)-2-methylbenzamide', 'TP-024', 'TP_024', 'TP-024', 'TP-024', 'FTBMT', 'TP-024', '4-(3-(3-fluoro-5-(trifluoromethyl)benzyl)-5-methyl-1H-1,2,4-triazol-1-yl)-2-methylbenzamide', 'TP-024', 'TP-024', 'TP-024', 'TP-024', 'TP-024', 'TP-024', 'TP-024', 'TP-024']"
"CHEMBL3127126";"";"";"Small molecule";"";"293.33";"2";"2";"2.60";"81.00";"4";"2";"0";"4";"N";"0.77";"3";"MOL";"-1";"22";"-0.77";"C17H15N3O2";"Nc1nc(-c2ccc(OCc3ccccc3)cc2)cc(=O)[nH]1";"LHHJIIASJAPIRE-UHFFFAOYSA-N";"InChI=1S/C17H15N3O2/c18-17-19-15(10-16(21)20-17)13-6-8-14(9-7-13)22-11-12-4-2-1-3-5-12/h1-10H,11H2,(H3,18,19,20,21)";"False";"-1";"['25']";"['2-amino-6-(4-(benzyloxy)phenyl)pyrimidin-4(3H)-one']"
